date,open,high,low,close
2023-05-03 09:00:00,1.10398,1.1047,1.10368,1.10406
2023-05-03 10:00:00,1.10406,1.10407,1.10299,1.1033
2023-05-03 11:00:00,1.10331,1.10438,1.1032,1.10398
2023-05-03 12:00:00,1.10398,1.10437,1.10228,1.10388
2023-05-03 13:00:00,1.10388,1.10436,1.10299,1.10325
2023-05-03 14:00:00,1.10324,1.10595,1.10324,1.10528
2023-05-03 15:00:00,1.10529,1.10588,1.10479,1.1048
2023-05-03 16:00:00,1.1048,1.10529,1.10446,1.10471
2023-05-03 17:00:00,1.1047,1.10532,1.10418,1.10491
2023-05-03 18:00:00,1.1049,1.10914,1.10375,1.10601
2023-05-03 19:00:00,1.106,1.10636,1.10406,1.10544
2023-05-03 20:00:00,1.10543,1.10626,1.10519,1.10626
2023-05-03 21:00:00,1.10602,1.1067,1.10576,1.1063
2023-05-03 22:00:00,1.1063,1.10784,1.1063,1.10681
2023-05-03 23:00:00,1.1068,1.10729,1.10644,1.10688
2023-05-04 00:00:00,1.10688,1.10875,1.10688,1.1076
2023-05-04 01:00:00,1.1076,1.10844,1.10715,1.10817
2023-05-04 02:00:00,1.10818,1.10878,1.10807,1.10842
2023-05-04 03:00:00,1.10843,1.1086,1.10804,1.10816
2023-05-04 04:00:00,1.10815,1.10874,1.10796,1.10816
2023-05-04 05:00:00,1.10816,1.10879,1.108,1.10844
2023-05-04 06:00:00,1.10845,1.10916,1.10729,1.10754
2023-05-04 07:00:00,1.10754,1.1077,1.10524,1.1058
2023-05-04 08:00:00,1.1058,1.10582,1.10375,1.10407
2023-05-04 09:00:00,1.10406,1.10562,1.10366,1.10552
2023-05-04 10:00:00,1.10552,1.10635,1.10492,1.10607
2023-05-04 11:00:00,1.10607,1.10768,1.10603,1.10746
2023-05-04 12:00:00,1.10746,1.10845,1.10016,1.10094
2023-05-04 13:00:00,1.10093,1.1055,1.1003,1.1024
2023-05-04 14:00:00,1.10241,1.10382,1.09863,1.10006
2023-05-04 15:00:00,1.10008,1.10134,1.09955,1.10085
2023-05-04 16:00:00,1.10084,1.10308,1.10082,1.1025
2023-05-04 17:00:00,1.10248,1.10317,1.10207,1.10217
2023-05-04 18:00:00,1.10217,1.10227,1.10113,1.10159
2023-05-04 19:00:00,1.10158,1.10202,1.10137,1.10148
2023-05-04 20:00:00,1.10148,1.10157,1.10118,1.10122
2023-05-04 21:00:00,1.10122,1.10153,1.10107,1.10144
2023-05-04 22:00:00,1.10143,1.10215,1.10101,1.10215
2023-05-04 23:00:00,1.10214,1.10246,1.10195,1.1023
2023-05-05 00:00:00,1.1023,1.10297,1.10192,1.10251
2023-05-05 01:00:00,1.10252,1.10371,1.10252,1.10356
2023-05-05 02:00:00,1.10357,1.10373,1.10276,1.10314
2023-05-05 03:00:00,1.10314,1.10448,1.10312,1.10442
2023-05-05 04:00:00,1.10443,1.1045,1.10407,1.1042
2023-05-05 05:00:00,1.10419,1.10465,1.10383,1.10402
2023-05-05 06:00:00,1.10402,1.10469,1.10301,1.10456
2023-05-05 07:00:00,1.10456,1.1048,1.10258,1.1027
2023-05-05 08:00:00,1.10271,1.10319,1.10243,1.10284
2023-05-05 09:00:00,1.10283,1.1032,1.10222,1.10276
2023-05-05 10:00:00,1.10276,1.10312,1.10216,1.1025
2023-05-05 11:00:00,1.1025,1.1026,1.10087,1.10095
2023-05-05 12:00:00,1.10095,1.10186,1.09669,1.09761
2023-05-05 13:00:00,1.09762,1.09963,1.09762,1.09914
2023-05-05 14:00:00,1.09915,1.1008,1.09856,1.1007
2023-05-05 15:00:00,1.1007,1.1027,1.10051,1.10248
2023-05-05 16:00:00,1.10249,1.10367,1.10214,1.10324
2023-05-05 17:00:00,1.10324,1.10346,1.10098,1.10118
2023-05-05 18:00:00,1.10118,1.1027,1.10109,1.10266
2023-05-05 19:00:00,1.10266,1.10266,1.10168,1.10184
2023-05-05 20:00:00,1.10184,1.10199,1.10168,1.10188
2023-05-05 21:00:00,1.10208,1.10236,1.1019,1.10225
2023-05-07 22:00:00,1.10226,1.10232,1.10146,1.10163
2023-05-07 23:00:00,1.10164,1.1022,1.10145,1.10184
2023-05-08 00:00:00,1.10184,1.10255,1.1017,1.10245
2023-05-08 01:00:00,1.10245,1.10322,1.10188,1.10314
2023-05-08 02:00:00,1.10315,1.10372,1.10283,1.10322
2023-05-08 03:00:00,1.10322,1.10401,1.10314,1.10394
2023-05-08 04:00:00,1.10393,1.10445,1.10388,1.10438
2023-05-08 05:00:00,1.10438,1.10446,1.10368,1.10392
2023-05-08 06:00:00,1.10392,1.10506,1.10376,1.10484
2023-05-08 07:00:00,1.10484,1.10502,1.10386,1.10494
2023-05-08 08:00:00,1.10493,1.10538,1.1036,1.10362
2023-05-08 09:00:00,1.10363,1.10394,1.1023,1.10363
2023-05-08 10:00:00,1.10362,1.10503,1.10355,1.10481
2023-05-08 11:00:00,1.10481,1.10516,1.10302,1.10352
2023-05-08 12:00:00,1.10351,1.10412,1.1032,1.10372
2023-05-08 13:00:00,1.10373,1.10444,1.10336,1.10436
2023-05-08 14:00:00,1.10436,1.10442,1.10132,1.1016
2023-05-08 15:00:00,1.10159,1.10236,1.10118,1.10198
2023-05-08 16:00:00,1.10199,1.10292,1.10191,1.10274
2023-05-08 17:00:00,1.10274,1.10294,1.10135,1.10157
2023-05-08 18:00:00,1.10156,1.10157,1.10052,1.1006
2023-05-08 19:00:00,1.1006,1.1008,1.10002,1.1002
2023-05-08 20:00:00,1.10019,1.10048,1.10002,1.10041
2023-05-08 21:00:00,1.10032,1.1006,1.1002,1.10048
2023-05-08 22:00:00,1.10047,1.1005,1.10013,1.10015
2023-05-08 23:00:00,1.10015,1.10025,1.09954,1.09967
2023-05-09 00:00:00,1.09966,1.09976,1.09851,1.099
2023-05-09 01:00:00,1.099,1.0995,1.09872,1.09878
2023-05-09 02:00:00,1.09879,1.09928,1.09852,1.09907
2023-05-09 03:00:00,1.09908,1.09943,1.09883,1.09938
2023-05-09 04:00:00,1.09939,1.09955,1.09886,1.09891
2023-05-09 05:00:00,1.0989,1.09944,1.09848,1.09944
2023-05-09 06:00:00,1.09943,1.10008,1.09874,1.09943
2023-05-09 07:00:00,1.09943,1.10004,1.09728,1.09782
2023-05-09 08:00:00,1.09782,1.09864,1.09742,1.0979
2023-05-09 09:00:00,1.0979,1.09845,1.09779,1.09843
2023-05-09 10:00:00,1.09842,1.09844,1.09776,1.09799
2023-05-09 11:00:00,1.098,1.09828,1.09592,1.09637
2023-05-09 12:00:00,1.09638,1.09672,1.095,1.09502
2023-05-09 13:00:00,1.09502,1.09636,1.09412,1.0962
2023-05-09 14:00:00,1.09622,1.09646,1.09534,1.0956
2023-05-09 15:00:00,1.0956,1.09604,1.0951,1.0953
2023-05-09 16:00:00,1.09525,1.0961,1.09494,1.09553
2023-05-09 17:00:00,1.09553,1.09648,1.09544,1.09638
2023-05-09 18:00:00,1.09638,1.09726,1.09616,1.09666
2023-05-09 19:00:00,1.09666,1.097,1.09616,1.0963
2023-05-09 20:00:00,1.0963,1.09641,1.09596,1.0961
2023-05-09 21:00:00,1.09641,1.09675,1.09466,1.09544
2023-05-09 22:00:00,1.09545,1.09674,1.09543,1.09654
2023-05-09 23:00:00,1.09654,1.0969,1.09641,1.09648
2023-05-10 00:00:00,1.09648,1.09722,1.09647,1.09694
2023-05-10 01:00:00,1.09695,1.09743,1.09684,1.09714
2023-05-10 02:00:00,1.09715,1.0975,1.09704,1.09745
2023-05-10 03:00:00,1.09745,1.09774,1.09728,1.09764
2023-05-10 04:00:00,1.09764,1.09774,1.0972,1.09723
2023-05-10 05:00:00,1.09722,1.09726,1.09625,1.09669
2023-05-10 06:00:00,1.09668,1.09754,1.09645,1.09698
2023-05-10 07:00:00,1.09697,1.09826,1.0963,1.09648
2023-05-10 08:00:00,1.09648,1.09649,1.09503,1.0952
2023-05-10 09:00:00,1.09521,1.09593,1.09481,1.09568
2023-05-10 10:00:00,1.09568,1.09606,1.09516,1.0955
2023-05-10 11:00:00,1.0955,1.09553,1.0946,1.09494
2023-05-10 12:00:00,1.09493,1.10059,1.09418,1.1001
2023-05-10 13:00:00,1.1001,1.10065,1.09724,1.0986
2023-05-10 14:00:00,1.0986,1.1007,1.09643,1.09722
2023-05-10 15:00:00,1.09724,1.098,1.09654,1.09654
2023-05-10 16:00:00,1.09655,1.09755,1.09652,1.09705
2023-05-10 17:00:00,1.09706,1.09728,1.09618,1.09675
2023-05-10 18:00:00,1.09676,1.09826,1.09676,1.0977
2023-05-10 19:00:00,1.0977,1.0985,1.0976,1.09825
2023-05-10 20:00:00,1.09825,1.09846,1.09808,1.09827
2023-05-10 21:00:00,1.09817,1.09835,1.09792,1.09832
2023-05-10 22:00:00,1.09834,1.09865,1.09825,1.09865
2023-05-10 23:00:00,1.09864,1.09874,1.09825,1.09829
2023-05-11 00:00:00,1.09828,1.09933,1.09826,1.0993
2023-05-11 01:00:00,1.0993,1.09982,1.09843,1.09847
2023-05-11 02:00:00,1.09846,1.09854,1.09753,1.09807
2023-05-11 03:00:00,1.09807,1.09819,1.09738,1.09746
2023-05-11 04:00:00,1.09747,1.09764,1.09698,1.09754
2023-05-11 05:00:00,1.09754,1.09824,1.09744,1.09785
2023-05-11 06:00:00,1.09786,1.09793,1.09294,1.09305
2023-05-11 07:00:00,1.09304,1.09388,1.09243,1.09302
2023-05-11 08:00:00,1.09302,1.09367,1.09184,1.09285
2023-05-11 09:00:00,1.09286,1.09345,1.0924,1.0928
2023-05-11 10:00:00,1.09279,1.09311,1.0918,1.09228
2023-05-11 11:00:00,1.09227,1.09385,1.09216,1.09318
2023-05-11 12:00:00,1.09317,1.09481,1.09261,1.0933
2023-05-11 13:00:00,1.09329,1.09333,1.09011,1.09016
2023-05-11 14:00:00,1.09016,1.09212,1.09002,1.09176
2023-05-11 15:00:00,1.09175,1.09201,1.09095,1.09157
2023-05-11 16:00:00,1.09156,1.09291,1.09155,1.09254
2023-05-11 17:00:00,1.09253,1.0926,1.0911,1.09128
2023-05-11 18:00:00,1.09129,1.09189,1.0912,1.09188
2023-05-11 19:00:00,1.09188,1.09218,1.09164,1.09171
2023-05-11 20:00:00,1.0917,1.09178,1.09152,1.09158
2023-05-11 21:00:00,1.09164,1.0922,1.09162,1.09172
2023-05-11 22:00:00,1.09174,1.09188,1.09146,1.09165
2023-05-11 23:00:00,1.09165,1.09176,1.09117,1.09125
2023-05-12 00:00:00,1.09126,1.09217,1.09125,1.09215
2023-05-12 01:00:00,1.09216,1.09244,1.09173,1.09243
2023-05-12 02:00:00,1.09244,1.09255,1.09178,1.09186
2023-05-12 03:00:00,1.09187,1.09226,1.09152,1.09225
2023-05-12 04:00:00,1.09224,1.0927,1.09219,1.09264
2023-05-12 05:00:00,1.09263,1.09306,1.0922,1.09243
2023-05-12 06:00:00,1.09242,1.09346,1.09198,1.09291
2023-05-12 07:00:00,1.0929,1.09357,1.09064,1.09079
2023-05-12 08:00:00,1.09078,1.09142,1.09048,1.09138
2023-05-12 09:00:00,1.09137,1.09175,1.0899,1.0911
2023-05-12 10:00:00,1.0911,1.0915,1.09054,1.09056
2023-05-12 11:00:00,1.09055,1.0906,1.08893,1.08922
2023-05-12 12:00:00,1.08921,1.08953,1.08814,1.0887
2023-05-12 13:00:00,1.0887,1.08944,1.08796,1.0889
