date,open,high,low,close
2023-07-02 22:00:00,1.09085,1.09136,1.09085,1.09098
2023-07-02 23:00:00,1.09099,1.09106,1.09069,1.09078
2023-07-03 00:00:00,1.09079,1.09098,1.09007,1.09017
2023-07-03 01:00:00,1.09017,1.09178,1.09014,1.09091
2023-07-03 02:00:00,1.09091,1.09107,1.09068,1.09078
2023-07-03 03:00:00,1.09078,1.09138,1.09066,1.09128
2023-07-03 04:00:00,1.09128,1.09184,1.09126,1.09176
2023-07-03 05:00:00,1.09176,1.09182,1.09032,1.09035
2023-07-03 06:00:00,1.09036,1.0907,1.08882,1.08904
2023-07-03 07:00:00,1.08904,1.0891,1.08704,1.08752
2023-07-03 08:00:00,1.08753,1.08892,1.08732,1.08865
2023-07-03 09:00:00,1.08864,1.0892,1.08762,1.08902
2023-07-03 10:00:00,1.08902,1.08962,1.08816,1.08923
2023-07-03 11:00:00,1.08923,1.09048,1.08873,1.08991
2023-07-03 12:00:00,1.08992,1.09102,1.0894,1.0909
2023-07-03 13:00:00,1.0909,1.09206,1.09046,1.09138
2023-07-03 14:00:00,1.09138,1.0934,1.09028,1.09069
2023-07-03 15:00:00,1.0907,1.09231,1.09019,1.09183
2023-07-03 16:00:00,1.09182,1.09215,1.09138,1.09158
2023-07-03 17:00:00,1.09159,1.09164,1.09085,1.09085
2023-07-03 18:00:00,1.09085,1.09128,1.09085,1.09119
2023-07-03 19:00:00,1.0912,1.0912,1.09095,1.09096
2023-07-03 20:00:00,1.09096,1.09147,1.09093,1.0913
2023-07-03 21:00:00,1.09118,1.09146,1.09115,1.09125
2023-07-03 22:00:00,1.09126,1.09158,1.09126,1.0913
2023-07-03 23:00:00,1.0913,1.0915,1.09124,1.0913
2023-07-04 00:00:00,1.0913,1.09138,1.09088,1.09099
2023-07-04 01:00:00,1.091,1.09165,1.09084,1.0911
2023-07-04 02:00:00,1.09114,1.09115,1.09026,1.09059
2023-07-04 03:00:00,1.09058,1.09094,1.09042,1.09047
2023-07-04 04:00:00,1.09048,1.09056,1.09007,1.09008
2023-07-04 05:00:00,1.09007,1.09014,1.08943,1.08955
2023-07-04 06:00:00,1.08955,1.0915,1.08954,1.0915
2023-07-04 07:00:00,1.0915,1.0915,1.08964,1.0903
2023-07-04 08:00:00,1.09031,1.09046,1.08923,1.08956
2023-07-04 09:00:00,1.08956,1.09031,1.08947,1.08987
2023-07-04 10:00:00,1.08986,1.0904,1.08956,1.08962
2023-07-04 11:00:00,1.08962,1.09024,1.08899,1.08985
2023-07-04 12:00:00,1.08984,1.09012,1.08938,1.09008
2023-07-04 13:00:00,1.09007,1.09014,1.08962,1.09
2023-07-04 14:00:00,1.09,1.09075,1.08984,1.0902
2023-07-04 15:00:00,1.0902,1.09028,1.08967,1.09012
2023-07-04 16:00:00,1.09012,1.09014,1.08921,1.08944
2023-07-04 17:00:00,1.08945,1.08973,1.08934,1.0894
2023-07-04 18:00:00,1.0894,1.08962,1.08871,1.08876
2023-07-04 19:00:00,1.08876,1.0888,1.0881,1.08835
2023-07-04 20:00:00,1.08836,1.08838,1.0877,1.08796
2023-07-04 21:00:00,1.0883,1.08835,1.08788,1.08798
2023-07-04 22:00:00,1.08795,1.08819,1.08774,1.08807
2023-07-04 23:00:00,1.08807,1.08835,1.08797,1.08826
2023-07-05 00:00:00,1.08826,1.0891,1.08826,1.08869
2023-07-05 01:00:00,1.08869,1.08872,1.08765,1.08772
2023-07-05 02:00:00,1.08772,1.08786,1.08752,1.08782
2023-07-05 03:00:00,1.08783,1.08795,1.08754,1.08776
2023-07-05 04:00:00,1.08776,1.08776,1.08753,1.08758
2023-07-05 05:00:00,1.08759,1.08841,1.08679,1.08815
2023-07-05 06:00:00,1.08815,1.08891,1.08715,1.08828
2023-07-05 07:00:00,1.08828,1.0908,1.08825,1.08868
2023-07-05 08:00:00,1.08866,1.08942,1.08665,1.08882
2023-07-05 09:00:00,1.08882,1.08958,1.08755,1.08944
2023-07-05 10:00:00,1.08943,1.0895,1.08776,1.08784
2023-07-05 11:00:00,1.08784,1.08824,1.08755,1.08794
2023-07-05 12:00:00,1.08793,1.09022,1.08758,1.08944
2023-07-05 13:00:00,1.08944,1.09016,1.08859,1.0892
2023-07-05 14:00:00,1.08921,1.08953,1.08672,1.08738
2023-07-05 15:00:00,1.08738,1.08772,1.0865,1.08672
2023-07-05 16:00:00,1.08672,1.08672,1.08592,1.08609
2023-07-05 17:00:00,1.0861,1.0864,1.08584,1.086
2023-07-05 18:00:00,1.086,1.08656,1.08512,1.08537
2023-07-05 19:00:00,1.08538,1.08568,1.08528,1.08553
2023-07-05 20:00:00,1.08552,1.08558,1.08531,1.08538
2023-07-05 21:00:00,1.08576,1.08576,1.08539,1.0857
2023-07-05 22:00:00,1.08569,1.08574,1.0853,1.08532
2023-07-05 23:00:00,1.08532,1.08564,1.08524,1.08554
2023-07-06 00:00:00,1.08554,1.08562,1.08466,1.08491
2023-07-06 01:00:00,1.08492,1.08508,1.08431,1.08502
2023-07-06 02:00:00,1.08502,1.08536,1.08461,1.08472
2023-07-06 03:00:00,1.08472,1.08472,1.08402,1.08404
2023-07-06 04:00:00,1.08403,1.08438,1.08339,1.08434
2023-07-06 05:00:00,1.08433,1.08566,1.08418,1.08558
2023-07-06 06:00:00,1.08557,1.08694,1.08535,1.08674
2023-07-06 07:00:00,1.08675,1.08752,1.08524,1.08557
2023-07-06 08:00:00,1.08556,1.08659,1.08456,1.08642
2023-07-06 09:00:00,1.08642,1.08689,1.08604,1.08618
2023-07-06 10:00:00,1.08617,1.08901,1.08615,1.0887
2023-07-06 11:00:00,1.0887,1.0898,1.08836,1.08954
2023-07-06 12:00:00,1.08955,1.09008,1.08587,1.0874
2023-07-06 13:00:00,1.0874,1.08879,1.08674,1.08836
2023-07-06 14:00:00,1.08834,1.08834,1.0834,1.08683
2023-07-06 15:00:00,1.08684,1.08783,1.08585,1.08725
2023-07-06 16:00:00,1.08724,1.08862,1.08709,1.08728
2023-07-06 17:00:00,1.08728,1.08823,1.08725,1.08822
2023-07-06 18:00:00,1.0882,1.08859,1.08774,1.0881
2023-07-06 19:00:00,1.0881,1.0889,1.0881,1.08885
2023-07-06 20:00:00,1.08884,1.08928,1.08854,1.08926
2023-07-06 21:00:00,1.08879,1.08898,1.08879,1.08895
2023-07-06 22:00:00,1.08896,1.08915,1.08894,1.08915
2023-07-06 23:00:00,1.08915,1.08952,1.08899,1.08899
2023-07-07 00:00:00,1.08899,1.08914,1.08826,1.08852
2023-07-07 01:00:00,1.08851,1.08915,1.0885,1.08872
2023-07-07 02:00:00,1.08872,1.08888,1.08836,1.08861
2023-07-07 03:00:00,1.08862,1.08918,1.0886,1.08879
2023-07-07 04:00:00,1.08878,1.08953,1.08858,1.08912
2023-07-07 05:00:00,1.08912,1.08962,1.08866,1.08875
2023-07-07 06:00:00,1.08876,1.09006,1.08813,1.0883
2023-07-07 07:00:00,1.0883,1.08912,1.08719,1.08762
2023-07-07 08:00:00,1.08761,1.0881,1.08672,1.08779
2023-07-07 09:00:00,1.08778,1.08889,1.08702,1.08807
2023-07-07 10:00:00,1.08806,1.08966,1.0878,1.08924
2023-07-07 11:00:00,1.08925,1.08971,1.08876,1.08877
2023-07-07 12:00:00,1.08878,1.09316,1.08748,1.0912
2023-07-07 13:00:00,1.0912,1.0925,1.08955,1.09163
2023-07-07 14:00:00,1.09164,1.0954,1.09098,1.0949
2023-07-07 15:00:00,1.0949,1.09636,1.09449,1.09631
2023-07-07 16:00:00,1.09632,1.09729,1.09632,1.0972
2023-07-07 17:00:00,1.09719,1.09734,1.09666,1.09678
2023-07-07 18:00:00,1.09677,1.09703,1.09659,1.09675
2023-07-07 19:00:00,1.09675,1.09698,1.09634,1.09668
2023-07-07 20:00:00,1.09669,1.09695,1.09651,1.09674
2023-07-07 21:00:00,1.09611,1.0968,1.09607,1.09661
2023-07-09 22:00:00,1.0966,1.09699,1.09654,1.09666
2023-07-09 23:00:00,1.09666,1.09682,1.09625,1.09671
2023-07-10 00:00:00,1.09672,1.09691,1.0957,1.09644
2023-07-10 01:00:00,1.09645,1.09697,1.09574,1.09606
2023-07-10 02:00:00,1.09606,1.09635,1.09567,1.09607
2023-07-10 03:00:00,1.09608,1.09624,1.09532,1.09561
2023-07-10 04:00:00,1.09562,1.09582,1.09527,1.09532
2023-07-10 05:00:00,1.09533,1.09564,1.09461,1.09463
2023-07-10 06:00:00,1.09462,1.09548,1.09452,1.09505
2023-07-10 07:00:00,1.09506,1.09656,1.09485,1.09546
2023-07-10 08:00:00,1.09546,1.09657,1.0953,1.09649
2023-07-10 09:00:00,1.09648,1.09732,1.0961,1.09622
2023-07-10 10:00:00,1.09621,1.09654,1.09547,1.09595
2023-07-10 11:00:00,1.09596,1.09622,1.09535,1.0954
2023-07-10 12:00:00,1.0954,1.09583,1.09436,1.09471
2023-07-10 13:00:00,1.09472,1.09713,1.09472,1.09672
2023-07-10 14:00:00,1.09672,1.09804,1.09668,1.09748
2023-07-10 15:00:00,1.09749,1.0993,1.09749,1.09901
2023-07-10 16:00:00,1.09902,1.09914,1.09827,1.09894
2023-07-10 17:00:00,1.09894,1.09968,1.09875,1.09954
2023-07-10 18:00:00,1.09954,1.09996,1.09916,1.09991
2023-07-10 19:00:00,1.09992,1.10005,1.09965,1.09982
2023-07-10 20:00:00,1.09983,1.10016,1.09971,1.10015
2023-07-10 21:00:00,1.10014,1.1002,1.09971,1.10003
2023-07-10 22:00:00,1.10004,1.10028,1.09996,1.10015
2023-07-10 23:00:00,1.10015,1.1006,1.10015,1.10055
2023-07-11 00:00:00,1.10056,1.10089,1.10017,1.10068
2023-07-11 01:00:00,1.10069,1.10132,1.1006,1.10096
2023-07-11 02:00:00,1.10097,1.10202,1.10065,1.1019
2023-07-11 03:00:00,1.1019,1.10194,1.10123,1.10175
2023-07-11 04:00:00,1.10177,1.10202,1.10154,1.102
2023-07-11 05:00:00,1.10199,1.10223,1.10062,1.10072
2023-07-11 06:00:00,1.10073,1.10269,1.10073,1.10215
2023-07-11 07:00:00,1.10216,1.10231,1.10077,1.10084
2023-07-11 08:00:00,1.10083,1.10158,1.10025,1.10029
2023-07-11 09:00:00,1.10031,1.10086,1.09974,1.10065
2023-07-11 10:00:00,1.10064,1.10127,1.10041,1.10061
2023-07-11 11:00:00,1.10061,1.10066,1.09832,1.09838
2023-07-11 12:00:00,1.09838,1.09904,1.09771,1.0982
2023-07-11 13:00:00,1.0982,1.09938,1.09796,1.09873
2023-07-11 14:00:00,1.09874,1.09934,1.09786,1.099
2023-07-11 15:00:00,1.099,1.09948,1.09865,1.09919
2023-07-11 16:00:00,1.0992,1.10032,1.09912,1.10026
2023-07-11 17:00:00,1.10027,1.10093,1.10022,1.10068
2023-07-11 18:00:00,1.10069,1.10078,1.09977,1.09995
2023-07-11 19:00:00,1.09994,1.10075,1.09992,1.10063
2023-07-11 20:00:00,1.10064,1.1009,1.10051,1.10087
2023-07-11 21:00:00,1.10051,1.10092,1.10051,1.10076
2023-07-11 22:00:00,1.10074,1.10124,1.10069,1.10124
2023-07-11 23:00:00,1.10123,1.10144,1.10114,1.10138
2023-07-12 00:00:00,1.10139,1.10218,1.10122,1.10188
2023-07-12 01:00:00,1.10189,1.10318,1.10187,1.10272
2023-07-12 02:00:00,1.10273,1.10336,1.10255,1.10314
2023-07-12 03:00:00,1.10312,1.10318,1.10267,1.10297
2023-07-12 04:00:00,1.10298,1.1037,1.10294,1.10363
2023-07-12 05:00:00,1.10363,1.10364,1.10257,1.10262
2023-07-12 06:00:00,1.10263,1.10355,1.10208,1.1023
2023-07-12 07:00:00,1.1023,1.10299,1.1022,1.10275
2023-07-12 08:00:00,1.10274,1.10307,1.10218,1.10224
2023-07-12 09:00:00,1.10223,1.1028,1.10184,1.1025
2023-07-12 10:00:00,1.1025,1.10255,1.10188,1.10222
2023-07-12 11:00:00,1.10223,1.10248,1.10138,1.1015
2023-07-12 12:00:00,1.1015,1.10719,1.1015,1.10581
2023-07-12 13:00:00,1.10582,1.11006,1.10565,1.1098
2023-07-12 14:00:00,1.10978,1.11235,1.1089,1.11206
2023-07-12 15:00:00,1.11205,1.11255,1.1111,1.11222
2023-07-12 16:00:00,1.11222,1.11335,1.11206,1.11322
2023-07-12 17:00:00,1.11322,1.11327,1.11248,1.11299
2023-07-12 18:00:00,1.113,1.11402,1.11281,1.11384
2023-07-12 19:00:00,1.11384,1.11406,1.11336,1.11373
2023-07-12 20:00:00,1.11372,1.11382,1.11309,1.11316
2023-07-12 21:00:00,1.11331,1.11345,1.11286,1.11297
2023-07-12 22:00:00,1.11298,1.11374,1.11298,1.11355
2023-07-12 23:00:00,1.11354,1.11408,1.11344,1.11407
2023-07-13 00:00:00,1.11407,1.11454,1.11379,1.11385
2023-07-13 01:00:00,1.11385,1.11456,1.11366,1.11451
2023-07-13 02:00:00,1.11451,1.11476,1.11395,1.11461
2023-07-13 03:00:00,1.11461,1.11489,1.11425,1.11458
2023-07-13 04:00:00,1.11458,1.11487,1.11408,1.11411
2023-07-13 05:00:00,1.1141,1.11434,1.113,1.11311
2023-07-13 06:00:00,1.11311,1.11502,1.1131,1.11485
2023-07-13 07:00:00,1.11485,1.1158,1.11364,1.11555
2023-07-13 08:00:00,1.11555,1.11701,1.11504,1.1161
2023-07-13 09:00:00,1.1161,1.11745,1.11552,1.1173
2023-07-13 10:00:00,1.11729,1.11738,1.11596,1.11715
2023-07-13 11:00:00,1.11716,1.1178,1.11686,1.11745
2023-07-13 12:00:00,1.11745,1.11901,1.11618,1.11798
2023-07-13 13:00:00,1.11798,1.11951,1.11765,1.11944
2023-07-13 14:00:00,1.11944,1.11961,1.11806,1.11959
2023-07-13 15:00:00,1.11959,1.11966,1.1186,1.1193
2023-07-13 16:00:00,1.1193,1.1209,1.11919,1.12059
2023-07-13 17:00:00,1.1206,1.12185,1.12025,1.12159
2023-07-13 18:00:00,1.12158,1.12227,1.12134,1.12226
2023-07-13 19:00:00,1.12226,1.12272,1.12196,1.12265
2023-07-13 20:00:00,1.12264,1.12281,1.12243,1.12263
2023-07-13 21:00:00,1.12174,1.12263,1.12174,1.1225
2023-07-13 22:00:00,1.12251,1.12299,1.1224,1.12249
2023-07-13 23:00:00,1.12248,1.12283,1.1222,1.12236
2023-07-14 00:00:00,1.12237,1.1225,1.12136,1.12228
2023-07-14 01:00:00,1.12229,1.12339,1.12224,1.12332
2023-07-14 02:00:00,1.12332,1.12387,1.12314,1.12354
2023-07-14 03:00:00,1.12354,1.12431,1.12338,1.12415
2023-07-14 04:00:00,1.12414,1.12415,1.12329,1.12332
2023-07-14 05:00:00,1.12332,1.12354,1.12187,1.12198
2023-07-14 06:00:00,1.12198,1.12258,1.12058,1.12102
2023-07-14 07:00:00,1.12102,1.12218,1.12044,1.12216
2023-07-14 08:00:00,1.12216,1.12359,1.12214,1.12314
2023-07-14 09:00:00,1.12314,1.1245,1.12264,1.12269
2023-07-14 10:00:00,1.1227,1.1227,1.12158,1.12205
2023-07-14 11:00:00,1.12205,1.12344,1.12195,1.12245
2023-07-14 12:00:00,1.12244,1.1227,1.12103,1.12259
2023-07-14 13:00:00,1.12255,1.12442,1.12178,1.124
2023-07-14 14:00:00,1.12396,1.12445,1.12158,1.12418
2023-07-14 15:00:00,1.12419,1.12445,1.12351,1.12357
2023-07-14 16:00:00,1.12358,1.12432,1.12334,1.12396
2023-07-14 17:00:00,1.12397,1.12398,1.12266,1.12342
2023-07-14 18:00:00,1.12342,1.12368,1.12315,1.12342
2023-07-14 19:00:00,1.12342,1.12342,1.1226,1.12261
2023-07-14 20:00:00,1.1226,1.12289,1.12246,1.12286
2023-07-14 21:00:00,1.12302,1.12332,1.12267,1.123
2023-07-16 22:00:00,1.12301,1.1232,1.12247,1.12256
2023-07-16 23:00:00,1.12257,1.12295,1.12236,1.12275
2023-07-17 00:00:00,1.12276,1.12299,1.12234,1.12248
2023-07-17 01:00:00,1.12248,1.12275,1.12173,1.12179
2023-07-17 02:00:00,1.12178,1.12282,1.12148,1.12266
2023-07-17 03:00:00,1.1227,1.12286,1.12246,1.12268
2023-07-17 04:00:00,1.12267,1.12278,1.12225,1.1227
2023-07-17 05:00:00,1.1227,1.12347,1.12223,1.12328
2023-07-17 06:00:00,1.12326,1.124,1.12227,1.12335
2023-07-17 07:00:00,1.12336,1.12452,1.12297,1.1245
2023-07-17 08:00:00,1.12449,1.12489,1.12365,1.1238
2023-07-17 09:00:00,1.1238,1.1245,1.12348,1.12436
2023-07-17 10:00:00,1.12436,1.12437,1.12309,1.12314
2023-07-17 11:00:00,1.12314,1.12378,1.12293,1.12338
2023-07-17 12:00:00,1.12338,1.12372,1.1221,1.12358
2023-07-17 13:00:00,1.12358,1.1236,1.12036,1.12217
2023-07-17 14:00:00,1.12218,1.12334,1.12178,1.12323
2023-07-17 15:00:00,1.12324,1.1238,1.12258,1.12354
2023-07-17 16:00:00,1.12355,1.12384,1.12302,1.12332
2023-07-17 17:00:00,1.12331,1.12445,1.12322,1.12406
2023-07-17 18:00:00,1.12406,1.12442,1.12394,1.12432
2023-07-17 19:00:00,1.12432,1.12462,1.12416,1.12441
2023-07-17 20:00:00,1.1244,1.12442,1.12368,1.12382
2023-07-17 21:00:00,1.1237,1.12406,1.12366,1.12381
2023-07-17 22:00:00,1.12379,1.12404,1.12374,1.12398
2023-07-17 23:00:00,1.12398,1.12404,1.12372,1.12377
2023-07-18 00:00:00,1.12375,1.12466,1.12348,1.12422
2023-07-18 01:00:00,1.12423,1.12561,1.1239,1.12456
2023-07-18 02:00:00,1.12458,1.1249,1.12437,1.12478
2023-07-18 03:00:00,1.12478,1.1255,1.12446,1.12542
2023-07-18 04:00:00,1.12542,1.12564,1.12505,1.12519
2023-07-18 05:00:00,1.1252,1.12642,1.12496,1.12504
2023-07-18 06:00:00,1.12505,1.12574,1.12407,1.12561
2023-07-18 07:00:00,1.1256,1.12759,1.12434,1.12542
2023-07-18 08:00:00,1.12541,1.12561,1.12281,1.12375
2023-07-18 09:00:00,1.12374,1.12496,1.12371,1.1249
2023-07-18 10:00:00,1.12491,1.12602,1.12471,1.12574
2023-07-18 11:00:00,1.12574,1.1258,1.12419,1.12534
2023-07-18 12:00:00,1.12535,1.12703,1.12234,1.12398
2023-07-18 13:00:00,1.12398,1.12458,1.12173,1.12268
2023-07-18 14:00:00,1.12268,1.12402,1.12254,1.1237
2023-07-18 15:00:00,1.1237,1.12456,1.12214,1.12226
2023-07-18 16:00:00,1.12227,1.12286,1.12091,1.12148
2023-07-18 17:00:00,1.12148,1.12212,1.12094,1.1219
2023-07-18 18:00:00,1.12189,1.12311,1.12139,1.12292
2023-07-18 19:00:00,1.12291,1.12309,1.12245,1.12302
2023-07-18 20:00:00,1.12303,1.12318,1.12271,1.1229
2023-07-18 21:00:00,1.12281,1.12306,1.12266,1.12295
2023-07-18 22:00:00,1.12293,1.12329,1.12287,1.12319
2023-07-18 23:00:00,1.12319,1.12321,1.12255,1.12284
2023-07-19 00:00:00,1.12285,1.1233,1.12274,1.12298
2023-07-19 01:00:00,1.12298,1.12314,1.12219,1.12254
2023-07-19 02:00:00,1.12254,1.12258,1.12164,1.12218
2023-07-19 03:00:00,1.12218,1.12269,1.12204,1.12264
2023-07-19 04:00:00,1.12264,1.12268,1.12198,1.12218
2023-07-19 05:00:00,1.12218,1.12359,1.12204,1.12353
2023-07-19 06:00:00,1.12354,1.12358,1.11962,1.12132
2023-07-19 07:00:00,1.12131,1.12374,1.12126,1.12272
2023-07-19 08:00:00,1.12272,1.12327,1.12202,1.12327
