date,open,high,low,close
2023-10-01 22:00:00,1.05682,1.05717,1.0558,1.05594
2023-10-01 23:00:00,1.05595,1.05648,1.0558,1.05643
2023-10-02 00:00:00,1.05644,1.05685,1.05625,1.05642
2023-10-02 01:00:00,1.05642,1.05705,1.05641,1.0568
2023-10-02 02:00:00,1.05681,1.0571,1.05679,1.05681
2023-10-02 03:00:00,1.05681,1.05704,1.05679,1.05699
2023-10-02 04:00:00,1.05698,1.05714,1.05684,1.05689
2023-10-02 05:00:00,1.05688,1.05695,1.05604,1.0562
2023-10-02 06:00:00,1.0562,1.05898,1.0561,1.05898
2023-10-02 07:00:00,1.05897,1.05921,1.05715,1.05725
2023-10-02 08:00:00,1.05724,1.05783,1.05601,1.05624
2023-10-02 09:00:00,1.05623,1.0563,1.0535,1.05394
2023-10-02 10:00:00,1.05388,1.0544,1.0534,1.05396
2023-10-02 11:00:00,1.05397,1.05427,1.05304,1.05315
2023-10-02 12:00:00,1.05315,1.05377,1.05251,1.05295
2023-10-02 13:00:00,1.05294,1.05327,1.05152,1.05157
2023-10-02 14:00:00,1.0516,1.05268,1.04924,1.04955
2023-10-02 15:00:00,1.04956,1.05128,1.04956,1.0499
2023-10-02 16:00:00,1.0499,1.04996,1.04884,1.04894
2023-10-02 17:00:00,1.04894,1.05053,1.04893,1.0496
2023-10-02 18:00:00,1.0496,1.05023,1.04907,1.04927
2023-10-02 19:00:00,1.04928,1.04942,1.04808,1.04811
2023-10-02 20:00:00,1.0481,1.0483,1.04777,1.0478
2023-10-02 21:00:00,1.04786,1.04811,1.04785,1.04796
2023-10-02 22:00:00,1.04802,1.0483,1.04765,1.04767
2023-10-02 23:00:00,1.04768,1.04829,1.04756,1.048
2023-10-03 00:00:00,1.04801,1.04806,1.04648,1.04726
2023-10-03 01:00:00,1.04725,1.0475,1.04678,1.04713
2023-10-03 02:00:00,1.04714,1.04715,1.0464,1.04668
2023-10-03 03:00:00,1.04668,1.04708,1.04654,1.04684
2023-10-03 04:00:00,1.04685,1.04705,1.04598,1.04635
2023-10-03 05:00:00,1.04634,1.04663,1.0461,1.04659
2023-10-03 06:00:00,1.04659,1.04749,1.04625,1.04732
2023-10-03 07:00:00,1.04732,1.04844,1.04693,1.04826
2023-10-03 08:00:00,1.04826,1.04936,1.04787,1.04854
2023-10-03 09:00:00,1.04855,1.04913,1.04806,1.0484
2023-10-03 10:00:00,1.0484,1.04856,1.04756,1.0476
2023-10-03 11:00:00,1.0476,1.04818,1.04694,1.04737
2023-10-03 12:00:00,1.04738,1.04788,1.04622,1.04663
2023-10-03 13:00:00,1.04664,1.04859,1.04642,1.04811
2023-10-03 14:00:00,1.0481,1.04829,1.04499,1.04758
2023-10-03 15:00:00,1.04757,1.04759,1.04484,1.04527
2023-10-03 16:00:00,1.04528,1.04727,1.0452,1.04625
2023-10-03 17:00:00,1.04625,1.04752,1.04623,1.04693
2023-10-03 18:00:00,1.04693,1.04798,1.04597,1.04748
2023-10-03 19:00:00,1.04748,1.04787,1.04708,1.04714
2023-10-03 20:00:00,1.04715,1.04738,1.04648,1.04662
2023-10-03 21:00:00,1.04686,1.04698,1.04648,1.04652
2023-10-03 22:00:00,1.04651,1.04682,1.04642,1.04648
2023-10-03 23:00:00,1.04648,1.04698,1.04632,1.04687
2023-10-04 00:00:00,1.04686,1.04757,1.04658,1.04715
2023-10-04 01:00:00,1.04715,1.04721,1.04605,1.0467
2023-10-04 02:00:00,1.04671,1.04685,1.046,1.04635
2023-10-04 03:00:00,1.04635,1.04668,1.04574,1.04594
2023-10-04 04:00:00,1.04595,1.04702,1.04584,1.04702
